,Stem,Tail,Shoulder,up Down Sym,Right Left,Cross  Bar,arm,Bowl 
A,0,0,0,0,1,1,0,0
B,0,0,1,1,1,1,0,1
C,0,0,0,1,0,0,0,0
D,0,0,0,1,0,0,0,1
E,1,0,0,1,0,0,0,0
F,1,0,0,0,0,1,1,0
G,1,0,1,0,0,1,1,0
H,1,0,0,1,1,1,0,0
I,1,0,0,1,1,0,0,0
J,1,0,1,0,0,0,0,0
K,1,0,0,1,0,0,1,0
L,1,0,0,0,0,0,1,0
M,0,0,0,0,1,0,0,0
N,0,0,0,1,0,0,0,0
O,0,0,0,1,1,0,0,1
P,1,0,0,0,0,0,0,1
Q,0,1,0,0,0,0,0,1
R,1,1,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0
T,1,0,0,0,1,1,0,0
U,0,0,0,0,1,0,0,0
V,0,0,0,0,1,0,0,0
W,0,0,0,0,1,0,0,0
X,0,0,0,1,1,0,0,0
Y,1,0,0,0,1,0,0,0
Z,0,0,0,1,0,0,1,0
a,0,1,0,0,0,0,0,1
b,1,0,0,0,0,0,0,0
c,0,0,0,1,0,0,0,0
d,1,0,1,0,0,0,0,1
e,0,1,0,0,0,0,0,1
f,0,0,1,0,0,1,0,0
g,0,0,0,0,0,0,0,1
h,1,0,1,0,0,0,0,0
i,0,0,0,0,1,0,0,0
j,1,1,0,0,0,0,0,0
k,1,1,1,0,0,0,1,0
l,1,0,0,1,1,0,0,0
m,0,0,1,0,1,0,0,0
n,0,0,1,0,0,0,0,0
o,0,0,0,1,1,0,0,1
p,1,0,0,0,0,0,0,1
q,0,1,1,0,0,0,0,1
r,0,0,0,0,0,0,0,0
s,0,1,0,1,0,0,0,1
t,0,0,1,0,0,1,0,0
u,0,0,1,0,0,0,0,1
v,0,0,0,0,1,0,0,0
w,0,0,0,0,1,0,0,0
x,0,0,0,1,1,0,1,0
y,1,0,0,0,0,0,0,0
z,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,1,0
2,1,0,0,0,0,0,0,1
3,0,0,0,1,0,0,0,0
4,1,0,0,0,0,1,0,0
5,1,0,1,0,0,0,0,0
6,1,0,1,0,0,0,0,1
7,1,0,0,0,0,0,1,0
8,0,0,0,1,0,0,1,1
9,0,1,0,0,0,0,1,1
